Deepsets Large Model 32-Bit QAT Model Prune Iter: 0, Test Accuracy: 0.6596655306332726, Val Accuracy: 0.6642320586302418, Val Loss: 0.8839773231623124, Phi Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0')), Rho Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 1, Test Accuracy: 0.6611516208290402, Val Accuracy: 0.666511384149537, Val Loss: 0.8782265997257362, Phi Sparsities: (tensor(0.1406, device='cuda:0'), tensor(0.2334, device='cuda:0')), Rho Sparsities: (tensor(0.1353, device='cuda:0'), tensor(0.2739, device='cuda:0'), tensor(0.1562, device='cuda:0'), tensor(0.2094, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 2, Test Accuracy: 0.6615082824760244, Val Accuracy: 0.6665995624360499, Val Loss: 0.8776026416798027, Phi Sparsities: (tensor(0.2083, device='cuda:0'), tensor(0.3955, device='cuda:0')), Rho Sparsities: (tensor(0.2881, device='cuda:0'), tensor(0.4482, device='cuda:0'), tensor(0.3154, device='cuda:0'), tensor(0.3750, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 3, Test Accuracy: 0.6612150273440596, Val Accuracy: 0.6655114756553061, Val Loss: 0.8800092663894705, Phi Sparsities: (tensor(0.2865, device='cuda:0'), tensor(0.5391, device='cuda:0')), Rho Sparsities: (tensor(0.4028, device='cuda:0'), tensor(0.5938, device='cuda:0'), tensor(0.4229, device='cuda:0'), tensor(0.5219, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 4, Test Accuracy: 0.6598795276214631, Val Accuracy: 0.6634001880027618, Val Loss: 0.8849388336648747, Phi Sparsities: (tensor(0.3490, device='cuda:0'), tensor(0.6504, device='cuda:0')), Rho Sparsities: (tensor(0.5073, device='cuda:0'), tensor(0.6919, device='cuda:0'), tensor(0.5332, device='cuda:0'), tensor(0.6094, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 5, Test Accuracy: 0.6575651898232543, Val Accuracy: 0.6611807571686451, Val Loss: 0.8900069878214881, Phi Sparsities: (tensor(0.3906, device='cuda:0'), tensor(0.7285, device='cuda:0')), Rho Sparsities: (tensor(0.6060, device='cuda:0'), tensor(0.7666, device='cuda:0'), tensor(0.6084, device='cuda:0'), tensor(0.6875, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 6, Test Accuracy: 0.6549457081715147, Val Accuracy: 0.6576719268619344, Val Loss: 0.8987773782541962, Phi Sparsities: (tensor(0.4323, device='cuda:0'), tensor(0.7949, device='cuda:0')), Rho Sparsities: (tensor(0.6846, device='cuda:0'), tensor(0.8149, device='cuda:0'), tensor(0.6816, device='cuda:0'), tensor(0.7656, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 7, Test Accuracy: 0.6508480621383848, Val Accuracy: 0.6537987372203875, Val Loss: 0.9087193506915553, Phi Sparsities: (tensor(0.5000, device='cuda:0'), tensor(0.8438, device='cuda:0')), Rho Sparsities: (tensor(0.7529, device='cuda:0'), tensor(0.8525, device='cuda:0'), tensor(0.7402, device='cuda:0'), tensor(0.7937, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 8, Test Accuracy: 0.6455734326702068, Val Accuracy: 0.6476928068146842, Val Loss: 0.9234675890734406, Phi Sparsities: (tensor(0.5469, device='cuda:0'), tensor(0.8682, device='cuda:0')), Rho Sparsities: (tensor(0.8091, device='cuda:0'), tensor(0.8882, device='cuda:0'), tensor(0.7881, device='cuda:0'), tensor(0.8188, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 9, Test Accuracy: 0.637627803756836, Val Accuracy: 0.6392626298758017, Val Loss: 0.9444080501997552, Phi Sparsities: (tensor(0.5833, device='cuda:0'), tensor(0.8984, device='cuda:0')), Rho Sparsities: (tensor(0.8477, device='cuda:0'), tensor(0.9106, device='cuda:0'), tensor(0.8350, device='cuda:0'), tensor(0.8562, device='cuda:0'))
Deepsets Large Model 32-Bit QAT Model Prune Iter: 10, Test Accuracy: 0.631469445985575, Val Accuracy: 0.6330319188759764, Val Loss: 0.9624506356764813, Phi Sparsities: (tensor(0.6354, device='cuda:0'), tensor(0.9209, device='cuda:0')), Rho Sparsities: (tensor(0.8770, device='cuda:0'), tensor(0.9302, device='cuda:0'), tensor(0.8652, device='cuda:0'), tensor(0.9031, device='cuda:0'))
